,favorites,retweets
7530,121,5
4676,2,0
10898,244,21
11745,136,4
6322,889,595
3945,8,0
9395,241,11
2164,868,142
2886,592,97
7612,157,15
8610,3858,181
516,1702,303
9279,192,1
4540,46,2
172,7368,537
639,5366,694
5467,2036,95
6120,360,96
1143,424,83
8568,165,18
6984,307,17
9950,106,9
1832,411,107
7251,40,2
6234,26,3
3686,69,12
9262,418,44
6252,411,239
5844,1691,913
7174,13,1
834,818,115
2486,270,17
10456,378,16
7135,6,0
6438,3,0
7558,444,162
10473,185,21
6637,10,0
65,4426,93
5466,20292,4553
9625,22,4
8912,2917,605
2024,549,153
6057,501,346
354,6798,1987
8169,66,1
5848,641,386
9638,259,11
5833,368,116
6114,77,44
4860,35,1
3127,19,0
5665,2751,810
309,4204,728
4993,9,1
5643,1000,139
6795,13,0
4354,2,0
10766,49,10
5171,29,8
8117,36,0
10824,300,10
2583,892,183
4682,21,1
2770,1415,149
8579,229,35
8008,209,39
8657,735,39
3209,5,0
7142,90,6
3905,52,4
8455,154,21
11696,122,9
6069,241,46
2379,2193,1095
8301,29,1
6110,98,48
4169,24,0
5758,1266,783
3428,57,7
4421,45,5
1101,156,12
10445,89,2
11796,33,6
11331,201,10
3250,28,0
7890,21,0
4140,38,1
3557,23,0
6723,8,0
118,2815,61
2022,539,144
4602,17,0
4606,42,3
10294,914,77
10505,346,24
8550,387,79
8677,1934,126
5144,30,2
4273,8,0
5957,1209,609
87,6607,1655
9821,582,104
3382,206,48
7563,149,18
403,2107,124
3350,6,1
9897,176,11
8383,47,2
8400,65,4
2241,711,138
8494,5070,348
7416,155,12
1027,133,11
11533,181,29
5787,881,347
2436,507,43
7879,46,2
1278,93,6
11436,90,1
11170,280,20
1425,138,10
6497,310,19
1502,294,33
11577,1102,215
10175,153,32
9743,335,34
10194,146,56
678,996,101
8287,54,3
5480,3543,364
6650,9,0
9804,949,229
1070,2249,347
9308,331,48
2480,1417,272
9877,627,67
3392,152,10
1099,134,9
6351,12,3
7382,7,0
418,1700,107
6865,43,0
4974,30,2
1947,2,0
3336,134,4
2299,177,10
8257,59,5
6429,128,49
208,7068,1935
7118,131,3
5804,1475,1002
5610,4100,666
528,2157,346
779,286,23
722,255,30
6932,130,7
1860,504,100
10073,32,2
11360,731,255
10062,15,2
10772,793,50
1992,660,172
2332,1286,129
11679,446,138
8722,1347,55
5544,5072,680
3459,12,1
6187,129,65
5277,1357,122
9546,341,32
6664,97,3
4518,36,4
5163,17,3
10332,1220,53
257,6550,601
9065,279,7
9004,80,7
10366,53,1
9502,598,36
7073,70,7
3625,16,0
702,67,3
3189,44,1
503,532,11
10475,122,11
7995,241,18
8639,93,3
2248,804,115
372,3255,131
4052,22,2
3937,12,0
11761,201,39
4076,6,1
997,212,16
4332,12,0
1176,214,31
11512,77,6
551,4589,466
4372,25,0
3497,148,2
5049,1,0
4724,0,0
9426,537,29
11507,283,61
7613,70,6
6422,297,122
7067,15,0
9819,1129,121
693,3502,443
2533,285,21
3443,131,4
982,91,9
11496,97,23
11242,125,5
4222,54,2
91,3367,258
2266,493,78
8531,3886,1207
7028,3,0
261,664,61
3337,13,1
7349,48,5
8318,219,3
6496,124,0
445,2688,113
3555,92,9
2194,310,62
6357,282,64
6743,9,0
2867,99,5
2526,778,52
10835,91,3
5268,4005,317
7919,13,2
1168,298,37
4144,80,0
84,4602,199
3149,388,45
8317,0,0
880,120,15
6594,222,35
10245,202,24
1467,704,164
8701,1441,70
6792,106,22
6634,30,7
4326,116,9
4044,3,0
4137,6,1
3039,10,0
10511,398,9
11099,192,14
579,6389,1307
8348,500,66
8757,268,24
5015,19,3
9366,517,20
7971,139,13
4157,5,0
9696,43,7
413,4524,244
402,2278,178
4428,80,8
2084,270,59
3057,11,4
8911,375,32
164,444,27
10599,101,8
4302,4,0
10349,1312,77
9326,169,13
3317,37,0
9531,22,4
3934,6,0
7738,39,2
1334,98,12
10687,135,12
753,159,18
3064,304,34
706,96,11
8091,43,0
4573,40,7
4772,27,3
3151,45,3
3799,20,4
4022,35,2
1074,1614,188
7708,67,6
3438,8,4
9628,516,101
7862,62,0
8328,351,8
2429,1057,150
246,6699,1567
3815,5,0
6950,43,4
3632,33,2
7660,142,7
2262,285,66
2246,318,72
835,135,19
432,6956,629
6302,177,60
1173,78,13
6569,2244,149
4656,477,64
7076,14,1
7754,31,2
7912,45,2
11628,297,50
11521,54,3
5011,36,14
7920,261,35
3407,39,0
2729,136,29
11768,378,37
433,6471,2107
8145,126,28
10435,40,5
10796,312,71
10924,131,20
11786,201,74
6177,196,74
8887,75,12
4002,6,1
7573,15,0
1332,457,55
7439,61,5
9169,740,32
5200,10,5
1443,335,58
9941,71,13
4898,7,0
4310,107,21
11813,345,23
9541,268,14
9394,30,2
2569,1869,641
8520,118,2
4277,13,2
3666,9,0
7210,172,19
2446,70,3
4918,75,6
3657,6,0
9597,125,11
3172,27,0
1223,258,26
5441,22739,3009
7770,42,9
544,4245,441
1204,372,39
